inverter_id,anomaly_count,total,avg_efficiency,avg_residual,anomaly_rate_%
INV-009,168,4745,0.8968970706006323,-0.002991575846086987,3.54
INV-007,139,4745,0.9002576185458376,-0.002710278181911876,2.93
INV-003,102,4745,0.8471300316122234,-0.002311524699880131,2.15
INV-005,94,4745,0.9271233508956798,0.001180650808016543,1.98
INV-002,84,4745,0.9272032455216016,0.0011543093496468768,1.77
INV-008,82,4745,0.9277561854583772,0.0013701896970331412,1.73
INV-001,76,4745,0.9269840463645944,0.0011475920266927327,1.6
INV-010,75,4745,0.9276940569020021,0.0012750529189221591,1.58
INV-006,68,4745,0.9270155953635406,0.0010401229599273029,1.43
INV-004,61,4745,0.9271398735511064,0.0011082386482890402,1.29
